,idstd,Ancienneté,size_Large,size_Medium,size_Small,colab,Secteur_Service,Secteur_Production,IT,R&D,Country_BA,Country_NE,Country_PA,innovation2
1415,564249,0.783462442427084,0,1,0,0.0,1,0,0.0,1.0,0,0,0,4.0
1416,564252,1.5549911873634643,1,0,0,0.0,1,0,1.0,1.0,0,0,0,4.0
1417,564254,-0.6894560706332792,0,1,0,0.0,1,0,1.0,1.0,0,0,0,3.0
1418,564258,0.0119336974907032,0,1,0,1.0,1,0,0.0,1.0,0,0,0,3.0
1419,564269,0.9237403960518804,0,1,0,0.0,1,0,0.0,1.0,0,0,0,2.0
1420,564274,-0.1283442561340932,0,1,0,0.0,1,0,0.0,0.0,0,0,0,1.0
1421,564277,0.1522116511154997,0,1,0,0.0,1,0,1.0,1.0,0,0,0,3.0
1422,564278,0.0820726743031015,0,1,0,0.0,1,0,1.0,1.0,0,0,0,3.0
1423,564280,0.5730455119898892,0,1,0,1.0,1,0,0.0,1.0,0,0,0,3.0
1424,564342,-0.8998730010704739,0,1,0,0.0,1,0,0.0,1.0,0,0,0,2.0
1425,564353,-0.8998730010704739,0,1,0,0.0,1,0,0.0,1.0,0,0,0,3.0
1426,564362,0.0820726743031015,0,1,0,0.0,1,0,0.0,1.0,0,0,0,2.0
1427,564364,-1.0401509546952703,0,1,0,0.0,1,0,0.0,0.0,0,0,0,4.0
1428,564365,-0.3387611865712879,0,1,0,0.0,1,0,0.0,1.0,0,0,0,3.0
1429,564366,-0.0582052793216949,0,1,0,0.0,1,0,0.0,1.0,0,0,0,3.0
1430,564369,1.6952691409882612,0,1,0,0.0,1,0,0.0,1.0,0,0,0,2.0
1431,564383,-0.1283442561340932,0,1,0,0.0,1,0,1.0,0.0,0,0,0,4.0
1432,564396,-1.0401509546952703,0,1,0,0.0,0,0,0.0,1.0,0,0,0,2.0
1433,564399,1.0640183496766769,0,1,0,1.0,0,0,0.0,1.0,0,0,0,3.0
1434,564400,-1.1804289083200667,0,1,0,1.0,0,0,0.0,1.0,0,0,0,4.0
1435,564407,-1.0401509546952703,0,1,0,0.0,0,0,0.0,1.0,0,0,0,3.0
1436,564411,-0.1283442561340932,0,1,0,0.0,0,0,0.0,1.0,0,0,0,2.0
1437,564413,-0.4790391401960844,0,1,0,0.0,0,0,0.0,1.0,0,0,0,3.0
1438,564414,-0.6193170938208808,0,1,0,0.0,0,0,0.0,1.0,0,0,0,3.0
1439,564415,-0.6894560706332792,1,0,0,0.0,0,0,0.0,1.0,0,0,0,2.0
1440,564420,-0.8998730010704739,0,1,0,1.0,0,0,0.0,1.0,0,0,0,3.0
1441,564421,-0.2686222097588897,0,1,0,0.0,0,0,0.0,1.0,0,0,0,2.0
1442,564422,0.5730455119898892,0,1,0,0.0,0,0,0.0,0.0,0,0,0,3.0
1443,564426,-0.3387611865712879,0,1,0,0.0,0,0,0.0,0.0,0,0,0,3.0
1444,564441,-0.4089001633836862,0,1,0,1.0,0,0,0.0,1.0,0,0,0,4.0
1445,564442,-0.970011977882872,0,1,0,0.0,0,0,0.0,1.0,0,0,0,2.0
1446,564444,-0.3387611865712879,0,1,0,0.0,0,0,0.0,1.0,0,0,0,2.0
1447,564446,-0.2686222097588897,0,1,0,1.0,0,0,0.0,1.0,0,0,0,3.0
1448,564447,1.4848522105510664,0,1,0,1.0,0,0,0.0,1.0,0,0,0,3.0
1449,564448,-0.0582052793216949,0,1,0,0.0,0,0,0.0,1.0,0,0,0,4.0
1450,564454,0.8536014192394822,0,1,0,1.0,0,0,0.0,1.0,0,0,0,3.0
1451,564458,-0.4089001633836862,0,1,0,0.0,0,0,0.0,1.0,0,0,0,3.0
1452,564460,0.222350627927898,0,1,0,0.0,0,0,0.0,1.0,0,0,0,2.0
1453,564462,0.5730455119898892,0,1,0,1.0,0,0,0.0,1.0,0,0,0,2.0
1454,564473,-0.4089001633836862,0,1,0,1.0,0,0,0.0,1.0,0,0,0,3.0
1455,564474,-0.1283442561340932,0,1,0,1.0,0,0,0.0,0.0,0,0,0,2.0
1456,564481,-0.8998730010704739,0,1,0,1.0,0,0,0.0,1.0,0,0,0,3.0
1457,564484,0.1522116511154997,0,1,0,0.0,0,0,0.0,0.0,0,0,0,3.0
1458,564485,0.222350627927898,0,1,0,0.0,0,0,0.0,1.0,0,0,0,1.0
1459,564487,-0.8297340242580756,0,1,0,1.0,0,0,0.0,1.0,0,0,0,2.0
1460,564488,-0.7595950474456774,0,1,0,0.0,0,0,0.0,0.0,0,0,0,2.0
1461,564490,-0.2686222097588897,0,1,0,0.0,0,0,0.0,1.0,0,0,0,2.0
1462,564491,-1.0401509546952703,0,1,0,1.0,0,0,0.0,1.0,0,0,0,1.0
1463,564494,0.222350627927898,0,1,0,1.0,0,0,0.0,1.0,0,0,0,1.0
1464,564498,-0.6894560706332792,0,1,0,1.0,0,0,0.0,1.0,0,0,0,2.0
1465,564503,0.3626285815526945,0,1,0,0.0,0,0,0.0,1.0,0,0,0,2.0
1466,564504,0.222350627927898,0,1,0,0.0,0,0,0.0,1.0,0,0,0,2.0
1467,564508,-0.7595950474456774,0,1,0,1.0,0,0,0.0,1.0,0,0,0,3.0
1468,564512,-0.8998730010704739,0,1,0,0.0,0,0,0.0,1.0,0,0,0,2.0
1469,564513,-0.7595950474456774,0,1,0,0.0,0,0,0.0,1.0,0,0,0,3.0
1470,564514,1.34457425692627,0,1,0,0.0,0,0,0.0,1.0,0,0,0,2.0
1471,564516,0.222350627927898,0,1,0,0.0,0,0,0.0,1.0,0,0,0,2.0
1472,564519,1.8355470946130577,1,0,0,0.0,0,0,0.0,1.0,0,0,0,2.0
1473,564521,-0.8297340242580756,0,1,0,0.0,0,0,0.0,1.0,0,0,0,3.0
1474,564523,-0.8297340242580756,0,1,0,0.0,0,0,0.0,1.0,0,0,0,2.0
1475,564525,-0.970011977882872,0,1,0,1.0,0,0,0.0,1.0,0,0,0,3.0
1476,564527,-0.8998730010704739,1,0,0,0.0,0,0,0.0,1.0,0,0,0,3.0
1477,564531,-0.8998730010704739,1,0,0,0.0,0,0,0.0,1.0,0,0,0,3.0
1478,564532,-0.970011977882872,1,0,0,0.0,0,0,0.0,1.0,0,0,0,3.0
1479,564533,-0.970011977882872,1,0,0,0.0,0,0,0.0,1.0,0,0,0,4.0
1480,564534,0.6431844888022875,1,0,0,0.0,0,0,0.0,1.0,0,0,0,4.0
1481,564535,-0.8998730010704739,1,0,0,1.0,0,0,1.0,1.0,0,0,0,4.0
