,idstd,Ancienneté,size_Large,size_Medium,size_Small,colab,Innovation,Secteur_Service,Secteur_Production,IT,R&D,Country_BA,Country_NE,Country_PA
686,531593,0.5730455119898892,0,1,0,0.0,1.0,0,1,0.0,1.0,1,0,0
687,531594,0.6431844888022875,0,0,1,1.0,1.0,0,1,0.0,1.0,1,0,0
688,531595,0.15221165111549978,0,1,0,0.0,1.0,0,1,0.0,1.0,1,0,0
689,531596,-0.8998730010704739,0,1,0,0.0,1.0,0,1,0.0,1.0,1,0,0
690,531597,-0.5491781170084826,0,1,0,0.0,1.0,0,1,0.0,1.0,1,0,0
691,531599,-0.8998730010704739,0,0,1,1.0,1.0,0,1,0.0,1.0,1,0,0
693,531603,0.011933697490703289,0,1,0,0.0,1.0,0,1,0.0,1.0,1,0,0
694,531604,-0.5491781170084826,1,0,0,1.0,1.0,0,1,0.0,1.0,1,0,0
695,531605,-0.5491781170084826,0,1,0,0.0,1.0,0,1,0.0,1.0,1,0,0
696,531606,-0.19848323294649145,0,1,0,0.0,1.0,0,1,0.0,1.0,1,0,0
697,531610,0.15221165111549978,0,1,0,0.0,1.0,0,1,0.0,0.0,1,0,0
698,531611,1.2744352801138716,0,1,0,0.0,1.0,0,1,0.0,1.0,1,0,0
699,531612,2.7473537931742347,0,1,0,0.0,1.0,0,1,0.0,1.0,1,0,0
700,531613,-0.1283442561340932,0,1,0,0.0,1.0,0,1,0.0,1.0,1,0,0
701,531614,-0.9700119778828721,0,1,0,0.0,1.0,0,1,0.0,1.0,1,0,0
702,531615,1.6251301641758629,0,1,0,0.0,1.0,0,1,0.0,1.0,1,0,0
703,531616,1.2042963033014733,0,1,0,0.0,1.0,0,1,0.0,1.0,1,0,0
704,531617,2.6772148163618366,0,1,0,1.0,1.0,0,1,0.0,1.0,1,0,0
705,531618,-1.1804289083200667,0,1,0,0.0,1.0,0,1,0.0,1.0,1,0,0
706,531619,0.08207267430310153,0,1,0,0.0,1.0,0,1,0.0,1.0,1,0,0
707,531620,0.9938793728642786,0,1,0,0.0,1.0,0,1,0.0,1.0,1,0,0
708,531621,-0.4790391401960844,0,1,0,1.0,1.0,0,1,0.0,1.0,1,0,0
709,531622,1.2744352801138716,0,1,0,1.0,1.0,0,1,0.0,1.0,1,0,0
710,531623,2.326519932299845,0,1,0,0.0,1.0,0,1,0.0,1.0,1,0,0
711,531624,-0.2686222097588897,0,1,0,0.0,1.0,0,1,0.0,1.0,1,0,0
712,531625,0.8536014192394822,0,1,0,0.0,1.0,0,1,0.0,1.0,1,0,0
713,531626,1.414713233738668,0,1,0,1.0,1.0,0,1,0.0,1.0,1,0,0
714,531627,1.2744352801138716,1,0,0,0.0,1.0,0,1,0.0,1.0,1,0,0
715,531628,-0.2686222097588897,0,1,0,1.0,1.0,0,1,0.0,1.0,1,0,0
716,531629,-1.3207068619448634,0,1,0,0.0,1.0,0,1,0.0,1.0,1,0,0
717,531630,-0.6193170938208808,0,1,0,0.0,1.0,0,1,0.0,1.0,1,0,0
718,531631,0.2924896047402963,0,1,0,0.0,1.0,0,1,0.0,1.0,1,0,0
719,531632,-0.1283442561340932,0,1,0,0.0,1.0,0,1,0.0,0.0,1,0,0
720,531633,-1.0401509546952703,0,1,0,0.0,1.0,0,1,0.0,1.0,1,0,0
721,531634,-0.6193170938208808,0,1,0,0.0,1.0,0,1,0.0,0.0,1,0,0
722,531635,1.414713233738668,0,1,0,0.0,1.0,0,1,0.0,1.0,1,0,0
723,531636,1.5549911873634645,0,1,0,1.0,1.0,0,1,0.0,1.0,1,0,0
724,531638,-0.19848323294649145,0,1,0,0.0,1.0,0,1,0.0,1.0,1,0,0
725,531639,-0.4089001633836862,0,1,0,0.0,1.0,0,1,0.0,1.0,1,0,0
726,531640,-1.0401509546952703,0,1,0,1.0,1.0,0,1,1.0,1.0,1,0,0
727,531641,0.3626285815526945,0,1,0,1.0,1.0,0,1,0.0,1.0,1,0,0
728,531642,-0.8998730010704739,0,0,1,0.0,1.0,0,1,0.0,1.0,1,0,0
729,531643,0.502906535177491,1,0,0,1.0,1.0,0,1,0.0,1.0,1,0,0
730,531644,1.2042963033014733,0,1,0,0.0,1.0,0,1,1.0,1.0,1,0,0
732,531646,0.011933697490703289,0,1,0,0.0,1.0,0,1,0.0,1.0,1,0,0
733,531647,0.6431844888022875,0,1,0,1.0,1.0,0,1,1.0,1.0,1,0,0
734,531648,-0.19848323294649145,0,1,0,0.0,1.0,0,1,0.0,1.0,1,0,0
735,531649,0.222350627927898,0,1,0,0.0,1.0,0,1,0.0,1.0,1,0,0
736,531650,-0.058205279321694954,0,1,0,0.0,1.0,0,1,0.0,1.0,1,0,0
737,531652,-0.19848323294649145,0,1,0,0.0,1.0,0,1,0.0,0.0,1,0,0
738,531653,0.8536014192394822,0,1,0,0.0,1.0,0,1,0.0,0.0,1,0,0
739,531654,0.8536014192394822,0,1,0,0.0,1.0,0,1,0.0,0.0,1,0,0
740,531655,0.7133234656146857,0,0,1,0.0,1.0,0,1,1.0,1.0,1,0,0
741,531657,0.9938793728642786,0,1,0,0.0,1.0,0,1,0.0,1.0,1,0,0
742,531659,0.502906535177491,0,1,0,0.0,1.0,0,1,0.0,1.0,1,0,0
743,531661,0.8536014192394822,0,1,0,0.0,1.0,0,1,0.0,1.0,1,0,0
744,531662,0.502906535177491,0,1,0,0.0,1.0,0,1,0.0,1.0,1,0,0
745,531663,-0.8998730010704739,0,1,0,0.0,1.0,0,1,0.0,1.0,1,0,0
746,531664,-0.4089001633836862,0,1,0,0.0,1.0,0,1,1.0,1.0,1,0,0
747,531665,-0.058205279321694954,0,1,0,0.0,1.0,0,1,0.0,1.0,1,0,0
749,531668,-1.0401509546952703,0,1,0,1.0,1.0,0,1,0.0,1.0,1,0,0
